Data;Godzina;COR;CRO;CROs;CROz
20181101;1;-;162,88;162,88;162,88
20181101;2;-;150,91;150,91;150,91
20181101;3;-;148,60;148,60;148,60
20181101;4;-;150,91;150,91;150,91
20181101;5;-;202,89;202,89;202,89
20181101;6;-;150,91;150,91;150,91
20181101;7;-;162,88;162,88;162,88
20181101;8;-;183,31;183,31;183,31
20181101;9;-;183,31;183,31;183,31
20181101;10;-;183,31;183,31;183,31
20181101;11;-;171,91;171,91;171,91
20181101;12;-;162,88;162,88;162,88
20181101;13;-;183,31;183,31;183,31
20181101;14;-;171,91;171,91;171,91
20181101;15;-;162,88;162,88;162,88
20181101;16;-;162,88;162,88;162,88
20181101;17;-;185,89;185,89;185,89
20181101;18;-;162,88;162,88;162,88
20181101;19;-;183,31;183,31;183,31
20181101;20;-;176,91;176,91;176,91
20181101;21;-;183,31;183,31;183,31
20181101;22;-;183,31;183,31;183,31
20181101;23;-;200,00;200,00;200,00
20181101;24;-;200,00;200,00;200,00
20181102;1;-;156,17;156,17;156,17
20181102;2;-;156,17;156,17;156,17
20181102;3;-;156,41;156,41;156,41
20181102;4;-;156,29;156,29;156,29
20181102;5;-;156,53;156,53;156,53
20181102;6;-;169,75;169,75;169,75
20181102;7;-;182,89;182,89;182,89
20181102;8;31,65;215,00;215,00;215,00
20181102;9;35,67;215,00;215,00;215,00
20181102;10;35,99;215,00;215,00;215,00
20181102;11;36,33;200,00;200,00;200,00
20181102;12;39,25;215,00;215,00;215,00
20181102;13;41,55;215,00;215,00;215,00
20181102;14;42,58;215,00;215,00;215,00
20181102;15;40,38;215,00;215,00;215,00
20181102;16;41,16;215,00;215,00;215,00
20181102;17;42,58;251,68;251,68;251,68
20181102;18;42,58;251,68;251,68;251,68
20181102;19;42,58;251,68;251,68;251,68
20181102;20;42,58;251,68;251,68;251,68
20181102;21;42,58;251,68;251,68;251,68
20181102;22;35,83;215,00;215,00;215,00
20181102;23;-;220,00;220,00;220,00
20181102;24;-;200,00;200,00;200,00
20181103;1;-;177,00;177,00;177,00
20181103;2;-;185,89;185,89;185,89
20181103;3;-;177,00;177,00;177,00
20181103;4;-;177,00;177,00;177,00
20181103;5;-;177,00;177,00;177,00
20181103;6;-;177,00;177,00;177,00
20181103;7;-;205,89;205,89;205,89
20181103;8;-;190,91;190,91;190,91
20181103;9;-;190,91;190,91;190,91
20181103;10;-;251,68;251,68;251,68
20181103;11;-;320,00;320,00;320,00
20181103;12;-;320,00;320,00;320,00
20181103;13;-;320,00;320,00;320,00
20181103;14;-;251,68;251,68;251,68
20181103;15;-;261,50;261,50;261,50
20181103;16;-;258,87;258,87;258,87
20181103;17;-;320,00;320,00;320,00
20181103;18;-;405,00;405,00;405,00
20181103;19;-;360,00;360,00;360,00
20181103;20;-;360,00;360,00;360,00
20181103;21;-;214,91;214,91;214,91
20181103;22;-;200,00;200,00;200,00
20181103;23;-;180,91;180,91;180,91
20181103;24;-;177,00;177,00;177,00
20181104;1;-;178,89;178,89;178,89
20181104;2;-;209,49;209,49;209,49
20181104;3;-;209,49;209,49;209,49
20181104;4;-;178,89;178,89;178,89
20181104;5;-;150,91;150,91;150,91
20181104;6;-;150,91;150,91;150,91
20181104;7;-;147,00;147,00;147,00
20181104;8;-;174,00;174,00;174,00
20181104;9;-;180,89;180,89;180,89
20181104;10;-;181,89;181,89;181,89
20181104;11;-;190,91;190,91;190,91
20181104;12;-;212,00;212,00;212,00
20181104;13;-;231,00;231,00;231,00
